Position: 54.37101505 18.61400261
ac: -1.808048 0.6283448 -2.5855055
ac: -0.6048688 2.0868556 0.022014618
ac: -0.40698934 2.4883964 3.3393145
ac: -1.4517462 1.3357303 4.1328993
ac: -0.4586596 -2.3824391 5.3753786
ac: -1.3289422 -2.8441622 3.0815973
ac: 0.31368 0.7105272 -2.4554567
ac: 0.3452974 1.3123605 -3.6629524
ac: 1.6239865 0.91276264 -2.5004597
ac: 0.09318105 0.41559362 -0.5441208
ac: 0.27474028 -0.55674267 2.2141275
ac: 1.3343184 -0.431962 0.7493181
ac: 2.6487982 -0.2602656 3.2810173
ac: 2.6236794 -1.5370123 1.0876741
ac: 1.3639593 -1.2920012 -4.0471067
ac: -0.95569235 -1.0837123 -0.14460182
ac: -1.6870469 0.67725945 -2.426856
ac: -2.121542 1.6143854 -0.94036865
Position: 54.37106185 18.61378013
ac: -0.45341325 1.8801131 3.0974169
ac: -0.83664817 2.0469382 4.2718315
ac: -0.130755 1.8880613 3.1503658
ac: -1.5204875 -0.8033569 3.1204376
ac: -0.39709336 -1.0644689 -0.04936886
ac: -0.85091996 -0.539134 -2.5670686
ac: 0.50581 -0.340065 -3.3776307
ac: 0.69400704 -0.22557902 -3.2072763
ac: 0.4312569 0.13512897 -0.59158325
ac: 0.65495133 -1.4162078 1.5119667
ac: 3.1274898 0.62446165 3.331603
ac: -1.0559982 -2.3100445 5.2039566
ac: 3.1896987 -0.92546177 -2.1861844
ac: 0.7285309 -0.34713316 -3.1916962
ac: -0.6519541 0.59978366 -4.027151
ac: -1.671251 1.5276306 -2.8120928
ac: -0.8165939 2.6362252 1.809699
ac: -1.8976038 3.115415 2.8047323
ac: 0.00521487 2.170614 3.0657558
Position: 54.37106662 18.61372441
ac: 0.19741338 -1.7628778 4.564913
ac: -0.9989674 -2.4937024 2.1649656
ac: 0.022603273 -0.3934443 -0.30227566
ac: -0.843544 0.2755549 -2.0160336
ac: 0.35203457 0.37601852 -3.3855891
ac: -0.055340707 -0.24313807 -1.4666066
ac: 1.0649388 -0.52643037 0.022510529
ac: 3.1773124 -0.4900775 0.89245415
ac: 1.9567791 -1.9103584 6.3186617
ac: 0.8650073 -0.14438796 0.6799021
ac: 0.5481842 0.17541265 -3.3566408
ac: -0.6660775 0.48602247 -3.643268
ac: -1.4356643 0.78759384 -4.6583867
ac: -0.7305468 1.1345544 -0.96045303
ac: -1.1499859 1.5213306 4.0878906
ac: 1.3194587 2.2918208 3.6645517
ac: -1.7522402 0.049220085 6.3974733
ac: -1.6592319 -1.3007334 0.7959032
Position: 54.37106662 18.61372441
ac: -0.48813242 -0.23123264 1.064991
ac: -0.4393775 2.1045914 -1.2130203
ac: 0.45821258 1.5857718 0.88758755
ac: 0.7829277 -0.6679206 -3.3802805
ac: 1.6771458 -2.0989819 -2.4100451
ac: 1.6322651 -1.5993543 3.212472
ac: 0.30612823 -0.7996373 0.4893694
ac: -0.5203726 -2.045337 3.1599054
ac: 1.2942723 -0.91978407 -1.5373926
ac: 1.4267298 -0.17736745 -3.9508004
ac: -0.71423817 0.11295295 -4.106901
ac: 0.040628254 2.815667 6.780737
ac: 0.99237394 3.0996614 -3.1612568
ac: -1.6132653 1.4432559 3.3062716
ac: 0.09254913 0.16019297 1.3742476
ac: -2.2321599 -1.9669704 1.2327585
ac: -1.0780377 -1.7170801 0.279027
ac: 0.07806337 -0.25140142 -2.6034727
Position: 54.37108015 18.61368373
ac: 0.48076963 0.79378414 -1.4114423
ac: 0.15765047 1.0785215 -2.9883099
ac: -0.020291 0.96917653 -0.15094662
ac: 0.32155985 -0.49316406 3.768899
ac: 2.6876347 0.4716165 5.441635
ac: 1.211777 -1.8062493 3.1782703
ac: 2.4229076 -1.1553044 -1.0099125
ac: 0.8103778 -0.4345796 -3.7385483
ac: -0.8170538 0.13072252 -6.720544
ac: -1.4975078 1.7533045 -2.1253853
ac: -0.4070717 1.9532194 1.1456594
ac: 0.750129 1.6349413 4.3361187
ac: -2.4085433 1.1809745 2.5201664
ac: -2.5826602 -0.8725302 2.115735
ac: -0.704092 -1.4128642 0.88613033
ac: -0.38799033 -1.1783789 -1.2092047
ac: 0.4608001 -0.29330277 -3.4668489
ac: 0.2822051 0.4931178 -3.9621072
ac: -0.51728094 -0.15942478 0.61403847
Position: 54.37108015 18.61368373
ac: 2.75206 0.773772 7.399398
ac: 1.1501272 2.2119665 5.4319077
ac: 1.6153108 -1.4912665 1.1924572
ac: 2.9328098 -0.8950739 -0.26745224
ac: 1.078191 0.19555616 -2.4420633
ac: -1.3373129 0.7501135 -5.396205
ac: -1.2811583 0.5979924 -3.043517
ac: -0.31826928 0.6979213 0.18205547
ac: -1.4388692 2.103591 3.5683308
