ac: -0.011228085 0.13460255 0.07837105
ac: -0.010587662 0.1420517 0.091001034
ac: -9.986609E-4 0.1497488 0.054044724
ac: 0.011424407 0.12733555 0.08330631
ac: -0.007788688 0.12276268 0.08587694
ac: -0.0010517836 0.14685059 0.05442953
ac: 0.009637088 0.13672256 0.062046528
ac: 0.0052307397 0.13536549 0.047958374
ac: 0.012766689 0.16288853 0.048503876
ac: 0.009842113 0.1234293 0.07828617
ac: 0.0020572245 0.13866043 0.049026966
ac: 0.0024665296 0.14815807 0.08630991
ac: 0.004443392 0.17270947 0.04558277
ac: 0.009972975 0.14714146 0.05660534
ac: -0.004216522 0.14301586 0.0516572
Position: 54.36984981 18.607247
ac: 0.00938122 0.13225746 0.09113979
ac: -0.004625693 0.15588188 0.049324512
ac: -0.0034087151 0.12831593 0.09610987
ac: 0.014047742 0.13681316 0.051633835
ac: 0.009676322 0.1286087 0.046524048
ac: 0.002228573 0.13541794 0.06465292
ac: 0.009187728 0.13541222 0.06411266
ac: 0.012734458 0.13947868 0.079921246
ac: -0.008756936 0.1122694 0.05591488
ac: 0.009029403 0.12966156 0.07614803
ac: -0.016656682 0.10580444 0.08441973
ac: 0.0064148307 0.15550041 0.055604935
ac: -0.012915224 0.14582539 0.06356716
ac: 0.009998977 0.14256382 0.084462166
ac: 0.0072754025 0.13942814 0.08002567
ac: -0.013566166 0.14208984 0.05313492
ac: -0.008654937 0.13489628 0.06451893
ac: 7.4496865E-4 0.13086987 0.11563301
Position: 54.36984981 18.607247
ac: 0.015088767 0.13965225 0.064537525
ac: -0.007667899 0.15604973 0.10654116
ac: -0.01909253 0.11697197 0.08481884
ac: 0.0050563365 0.13812542 0.04250002
ac: -1.9414723E-4 0.13079357 0.05170107
ac: 0.0012090802 0.13717079 0.08502293
ac: 0.010267347 0.15735054 0.050035
ac: 0.0037709028 0.15425873 0.07951069
ac: -0.007906824 0.13954449 0.0454607
ac: 0.019190952 0.11355209 0.06273556
ac: -0.005711004 0.12966251 0.04907179
ac: 0.00741978 0.13538742 0.071751595
ac: 0.0111563355 0.14207172 0.066194534
ac: 0.0059372783 0.16267872 0.09260225
ac: -0.0019918382 0.13270473 0.044796467
ac: -0.02563458 0.14246082 0.07013035
ac: -0.0092202425 0.14052296 0.08719301
ac: 0.008692935 0.14018822 0.079470634
Position: 54.36984981 18.607247
ac: -0.005748406 0.15485573 0.09264088
ac: -0.0050922036 0.15393543 0.09092617
ac: -0.0069474876 0.16637325 0.061849117
ac: -0.016507775 0.1541605 0.06954527
ac: -0.02592121 0.15488434 0.08793688
ac: 0.01798524 0.14656353 0.036849976
ac: 0.0071472377 0.14645004 0.079054356
ac: 0.011924028 0.1386919 0.08921957
ac: 0.009768531 0.14179707 0.08781767
ac: 0.006400585 0.12515545 0.054018974
ac: -0.012133285 0.12107563 0.071135044
ac: -1.4168024E-4 0.14300632 0.05361843
ac: 0.004722506 0.13822651 0.0715394
ac: 0.004772112 0.1462698 0.09196997
ac: 0.0060647875 0.10831547 0.06193161
ac: 0.01704371 0.13195896 0.06430435
ac: 0.017563269 0.12938595 0.04249239
ac: -0.007561803 0.13913155 0.049320698
ac: -0.0014331788 0.13237 0.065849304
Position: 54.36984981 18.607247
ac: 0.004832983 0.1354599 0.08659172
ac: 0.0014902353 0.14447498 0.087106705
ac: -0.0075042397 0.14779854 0.07441902
ac: 0.0039516687 0.13766766 0.052270412
ac: -0.0014593303 0.15547085 0.06270838
ac: -0.008285075 0.14966297 0.037847042
ac: 0.0015185773 0.15991402 0.07057905
ac: -0.005850777 0.15593624 0.06007147
ac: 0.021879315 0.14938354 0.07614422
ac: 9.3230605E-4 0.123991966 0.09097147
ac: -0.009989545 0.13110638 0.08269262
ac: -8.627772E-6 0.15273571 0.080770016
ac: -0.0054863244 0.1358223 0.06972313
ac: -0.009810314 0.1354456 0.054907322
ac: -0.004781097 0.14935493 0.07078934
ac: 0.00890775 0.15330791 0.062916756
ac: 0.017317131 0.1459322 0.05850792
ac: 0.0067306906 0.155303 0.065552235
Position: 54.36985128 18.60727819
